20.12.2019,7236.80,22.3,
19.12.2019,7214.50,-116.5,
18.12.2019,7331,623.8,
17.12.2019,6707.20,-249.3,
16.12.2019,6956.50,-210.3,
15.12.2019,7166.80,30.1,
14.12.2019,7136.70,-155.2,
13.12.2019,7291.90,27.9,
12.12.2019,7264,-16.2,
11.12.2019,7280.20,-29.1,
10.12.2019,7309.30,-98.7,
09.12.2019,7408,-176.9,
08.12.2019,7584.90,9.4,
07.12.2019,7575.50,-24.4,
06.12.2019,7599.90,144,
05.12.2019,7455.90,197.9,
04.12.2019,7258,-114.1,
03.12.2019,7372.10,-20.8,
02.12.2019,7392.90,-82.8,
01.12.2019,7475.70,-142.2,
30.11.2019,7617.90,-210,
29.11.2019,7827.90,310.7,
28.11.2019,7517.20,-42.8,
27.11.2019,7560,310.1,
26.11.2019,7249.90,93,
25.11.2019,7156.90,171.7,
24.11.2019,6985.20,-392.1,
23.11.2019,7377.30,37.4,
22.11.2019,7339.90,-343.5,
21.11.2019,7683.40,-464.4,
20.11.2019,8147.80,-10.2,
19.11.2019,8158,-82,
18.11.2019,8240,-309.4,
17.11.2019,8549.40,39.2,
16.11.2019,8510.20,-12.4,
15.11.2019,8522.60,-170.7,
14.11.2019,8693.30,-134.8,
13.11.2019,8828.10,-21.8,
12.11.2019,8849.90,66,
11.11.2019,8783.90,-284.4,
10.11.2019,9068.30,234.6,
09.11.2019,8833.70,-4.6,
08.11.2019,8838.30,-405.8,
07.11.2019,9244.10,-158.8,
06.11.2019,9402.90,53.5,
05.11.2019,9349.40,-59.4,
04.11.2019,9408.80,158,
03.11.2019,9250.80,-81.9,
02.11.2019,9332.70,70.2,
01.11.2019,9262.50,79.3,
31.10.2019,9183.20,-25.7,
30.10.2019,9208.90,-230.4,
29.10.2019,9439.30,202.5,
28.10.2019,9236.80,-302,
27.10.2019,9538.80,311.8,
26.10.2019,9227,574.7,
25.10.2019,8652.30,1202.3,
24.10.2019,7450,-37.5,
23.10.2019,7487.50,-585.4,
22.10.2019,8072.90,-176.6,
21.10.2019,8249.50,-0.5,
20.10.2019,8250,266,
